商品ID,商品名稱,作者名稱,分類,淨銷量,總營收,訂單數,首次銷售日,最後銷售日,銷售月數,月均銷量
B0000073,【上班族理財救星熱銷套書】：《小資致富術：用主題式ETF錢滾錢》+《上班族的ETF賺錢術》紙本｜陳重銘,陳重銘,紙本書,355.0,0.0,93,2023-03-17,2024-04-12,14,25.4
B0000083,(理財寶加購_$339)《學會走圖SOP讓技術分析養我一輩子》｜林穎,林穎,紙本書,351.0,118469.0,123,2023-07-14,2023-12-29,6,58.5
EB0000096,《靠譜：人生突圍的132條自我提升指南》電子版｜侯小強,侯小強,電子書,343.0,61330.0,75,2023-11-01,2026-02-01,28,12.2
EB0000055,抄底實戰66招,郭泰,電子書,337.0,44080.0,118,2022-04-01,2025-09-01,42,8.0
B0000119,《做自己的心理治療師：超過25 種療癒技術，擺脫情緒內耗，提升自我認同》｜塔米．米勒,塔米．米勒(Tammi Miller),紙本書,316.0,63200.0,316,2025-09-22,2025-10-23,2,158.0
B0000023,抓住飆股輕鬆賺,朱家泓,紙本書,304.0,76888.0,265,2011-07-04,2017-11-06,77,3.9
B0000117,【Money錢 打造小小巴菲特套書】：《小巴1》+《小巴2》,陳重銘,紙本書,299.0,0.0,2,2024-10-14,2025-03-21,6,49.8
EB0000045S,一眼看穿房仲賣屋手法,陳泰源,電子書,298.0,21757.0,66,2023-01-01,2024-08-01,20,14.9
EB0000053,每週只花1小時 抓出高勝率波段飆股,丹尼爾,電子書,292.0,23205.0,72,2022-06-01,2025-03-01,34,8.6
EB0000139,《慢慢富，比快快窮容易：阮慕驊教你3階段打造一生財富，找回失控的投資節奏》電子書｜阮慕驊,阮慕驊,電子書,251.0,43202.0,8,2026-01-01,2026-02-01,2,125.5
B0000078,(理財寶加購_$888)朱家泓技術分析一套四本,朱家泓,紙本書,221.0,0.0,9,2023-05-18,2023-05-26,1,221.0
EB0000123,《隱性財富：掌控市場變局的6大事件投資法》電子版｜艾席夫．蘇利亞,艾席夫．蘇利亞,電子書,221.0,44393.0,47,2025-02-01,2026-02-01,13,17.0
EB0000108,《重新找回自己：不完美也沒關係！你不用活成別人眼裡的100分》電子版｜陳海賢,陳海賢,電子書,218.0,31710.0,69,2024-05-01,2026-02-01,22,9.9
EB0000111,《懶人存股翻倍術: 1招搞定美股投資 6年賺1倍》電子版｜SK康德,SK康德,電子書,218.0,37736.0,68,2024-08-01,2026-02-01,19,11.5
EB0000106,《解碼商業模式：如何從一個想法到一個商業模式》電子版｜曾小軍,曾小軍,電子書,211.0,50090.0,79,2024-04-01,2026-02-01,23,9.2
